city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Hillsboro,OR,97123,4581-SE-Satinwood-St,"Residential, single family residence",Built in 2009,Forced air,Central air,1 Attached garage space,$93 monthly HOA fee,"3,049 sqft",$316 price/sqft,2.25% buyers agency fee,495000
Hillsboro,OR,97124,3100-NE-1st-Pl,"Residential, single family residence",Built in 1996,Forced air 90,Central air,2 Attached garage spaces,$100 annually HOA fee,"7,405 sqft",$262 price/sqft,2.25% buyers agency fee,635000
Seattle,WA,98109,2450-Dexter-Ave-N-APT-301,Condominium,Built in 1947,Radiator,None,None,0,$450 monthly HOA fee,$549 price/sqft,2.5% buyers agency fee,345000
Hillsboro,OR,97123,8069-SE-Kinnaman-St-945,Residential,Built in 2023,Forced air 95 plus,Central air,2 Attached garage spaces,$270 monthly HOA fee,No data,$326 price/sqft,2.25% buyers agency fee,434767
Hillsboro,OR,97123,8205-Leafhopper-St-1006,Residential,Built in 2023,Forced air 95 plus,Central air,2 Attached garage spaces,$270 monthly HOA fee,No data,$327 price/sqft,2.25% buyers agency fee,540518
Seattle,WA,98125,14300-32nd-Ave-NE-APT-404,Condominium,Built in 1986,Baseboard,None,1 Garage space,0,$451 monthly HOA fee,$437 price/sqft,2.5% buyers agency fee,389000
Beaverton,OR,97007,Silvertip-St,"Residential, single family residence",Built in 2023,Forced air 95 plus,No data,2 Attached garage spaces,$81 monthly HOA fee,No data,$364 price/sqft,2.25% buyers agency fee,759000
Portland,OR,97209,327-NW-Park-Ave-APT-2D,"Residential, condominium",Built in 2001,Forced air,Heat pump,Open parking,0,$468 monthly HOA fee,$315 price/sqft,2.5% buyers agency fee,229900
Tigard,OR,97224,15191-SW-Coolwater-Ln,"Residential, single family residence",Built in 2023,"Forced air 95 plus, fireplace(s)",Air conditioning ready,2 Attached garage spaces,$72 monthly HOA fee,No data,$274 price/sqft,2.25% buyers agency fee,757340
Oswego,OR,97035,3433-McNary-Pkwy-APT-203-Lake,"Residential, condominium",Built in 1994,"Zoned, fireplace(s)",No data,Carport,0,$472 monthly HOA fee,$297 price/sqft,2.5% buyers agency fee,299000
Oswego,OR,97035,86-Kingsgate-Rd-22-Lake,"Residential, condominium",Built in 1985,"Baseboard, fireplace(s)",No data,1 Garage space,0,$473 monthly HOA fee,$346 price/sqft,2.5% buyers agency fee,319500
Seattle,WA,98168,13438-12th-Ave-S-A,Condominium,Built in 2023,Ductless hp-mini split,Ductless hp-mini split,2 Garage spaces,0,$49 monthly HOA fee,$322 price/sqft,2.5% buyers agency fee,699950
Tigard,OR,97224,14143-SW-169th-Ave,"Residential, townhouse",Built in 2019,"Forced air 90, fireplace(s)",No data,2 Attached garage spaces,$316 monthly HOA fee,871.20 Sqft,$330 price/sqft,2.25% buyers agency fee,399900
Tigard,OR,97224,15410-SW-Summerview-Dr,"Residential, single family residence",Built in 2013,"Forced air 95 plus, fireplace(s)",Central air,2 Attached garage spaces,$108 quarterly HOA fee,"5,227 sqft",$266 price/sqft,2.25% buyers agency fee,729900
Bothell,WA,98011,9523-NE-180th-St-APT-A105,Condominium,Built in 1979,Forced air,None,1 Open parking space,0,$490 monthly HOA fee,$445 price/sqft,2.5% buyers agency fee,325000
Portland,OR,97223,11210-SW-Buffalo-Pl,"Residential, townhouse",Built in 2000,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$363 monthly HOA fee,871.20 Sqft,$268 price/sqft,2.25% buyers agency fee,424900
Tacoma,WA,98402,1501-Tacoma-Ave-S-UNIT-513,Condominium,Built in 2006,"Fireplace(s), radiant",Central air,2 Garage spaces,0,$496 monthly HOA fee,$413 price/sqft,2.5% buyers agency fee,425000
Hillsboro,OR,97124,1425-NE-61st-Ave-APT-207,"Residential, condominium",Built in 2001,Forced air,Central air,1 Garage space,0,$500 monthly HOA fee,$450 price/sqft,2.5% buyers agency fee,315000
Portland,OR,97223,15375-Silkwood-Ct,"Residential, single family residence",Built in 2022,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$85 monthly HOA fee,"4,791 sqft",$305 price/sqft,2.25% buyers agency fee,770000
Tigard,OR,97224,16904-SW-Rockhampton-Ln,"Residential, single family residence",Built in 2021,Forced air,Central air,2 Attached garage spaces,$84 monthly HOA fee,"4,791 sqft",$283 price/sqft,2.25% buyers agency fee,749900
Portland,OR,97224,15512-Everglade-Ave,"Residential, single family residence",Built in 2023,Forced air 95 plus,No data,2 Attached garage spaces,$72 monthly HOA fee,No data,$263 price/sqft,2.25% buyers agency fee,963000
Tigard,OR,97224,15514-SW-Peace-Ave,"Residential, single family residence",Built in 2023,Forced air 95 plus,No data,3 Attached garage spaces,$72 monthly HOA fee,"4,791 sqft",$333 price/sqft,2.25% buyers agency fee,849000
