city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Tacoma,WA,98422,5702-Ridge-Dr-NE,Single family residence,Built in 1998,"Fireplace(s), 90%+ high efficiency, forced air","90%+ high efficiency, central air, forced air",3 Attached garage spaces,0,0.30 Acres,$360 price/sqft,3% buyers agency fee,1070000
Vancouver,WA,98683,16901-SE-34th-St,"Residential, single family residence",Built in 1901,"Forced air, wall furnace",Window unit(s),2 Garage spaces,0,0.31 Acres,$184 price/sqft,2.25% buyers agency fee,625000
Vancouver,WA,98661,6717-NE-62nd-Ct,"Residential, single family residence",Built in 1979,"Ceiling, ductless",Wall unit(s),2 Attached garage spaces,0,0.32 Acres,$310 price/sqft,2.25% buyers agency fee,465000
Milwaukie,OR,97267,16515-SE-Sun-Ave,"Residential, single family residence",Built in 1957,"Forced air, fireplace(s)",No data,1 Attached garage space,0,0.32 Acres,$208 price/sqft,2.5% buyers agency fee,669900
Oswego,OR,97035,4323-Lakeview-Blvd-Lake,"Residential, single family residence",Built in 1961,Forced air,None,Open parking,0,0.32 Acres,$371 price/sqft,2.5% buyers agency fee,550000
Vancouver,WA,98686,2131-NE-Brookview-Dr,Single family residence,Built in 1979,"Fireplace(s), forced air, heat pump",Heat pump,2 Attached garage spaces,0,0.33 Acres,$242 price/sqft,2.25% buyers agency fee,524900
Portland,OR,97220,10045-NE-Shaver-St,"Residential, single family residence",Built in 1941,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.33 Acres,$233 price/sqft,2.5% buyers agency fee,695000
Corvallis,OR,97330,3002-NW-Lisa-Pl,Single family residence,Built in 1997,Forced air,Central air,2 Attached garage spaces,0,0.33 Acres,$208 price/sqft,2.5% buyers agency fee,745000
Seattle,WA,98125,13323-23rd-Pl-NE,Single family residence,Built in 1940,"Fireplace(s), baseboard",None,2 Carport spaces,0,0.33 Acres,$226 price/sqft,2.5% buyers agency fee,997000
Seattle,WA,98112,1108-McGilvra-Blvd-E,Single family residence,Built in 1930,"Fireplace(s), radiator",Other – see remarks,2 Attached garage spaces,0,0.33 Acres,"$1,270 price/sqft",2.5% buyers agency fee,6400000
Seattle,WA,98168,11630-Roseberg-Ave-S,Single family residence,Built in 1922,"90%+ high efficiency, forced air","90%+ high efficiency, central air, forced air",1 Attached garage space,0,0.33 Acres,$439 price/sqft,2.5% buyers agency fee,575000
Portland,OR,97201,1506-SW-Broadway-Dr,"Residential, single family residence",Built in 1964,"Wall furnace, zoned",No data,Open parking,0,0.34 Acres,$246 price/sqft,2.25% buyers agency fee,449950
Portland,OR,97212,1914-NE-22nd-Ave,"Residential, single family residence",Built in 1911,"Forced air, hot water, radiant, fireplace(s)",Central air,Open parking,0,0.34 Acres,$292 price/sqft,2.25% buyers agency fee,2895000
Tacoma,WA,98465,941-S-Magnolia-Ln,Single family residence,Built in 1966,"Fireplace(s), forced air",Forced air,2 Attached garage spaces,0,0.34 Acres,$298 price/sqft,2.5% buyers agency fee,895000
Burien,WA,98166,15012-28th-Ave-SW,Single family residence,Built in 1959,"Fireplace(s), 90%+ high efficiency, forced air",None,2 Attached garage spaces,0,0.34 Acres,$539 price/sqft,2.5% buyers agency fee,1675000
Tigard,OR,97223,10030-SW-Johnson-St,"Residential, single family residence",Built in 1956,"Ductless, heat pump",Heat pump,2 Attached garage spaces,0,0.34 Acres,$429 price/sqft,2% buyers agency fee,489000
Beaverton,OR,97007,7080-SW-Tierra-Del-Mar-Dr,"Residential, single family residence",Built in 1977,"Forced air, fireplace(s)",None,2 Attached garage spaces,0,0.36 Acres,$305 price/sqft,2.5% buyers agency fee,715000
Oswego,OR,97034,610-Boca-Ratan-Dr-Lake,"Residential, single family residence",Built in 1975,Forced air,None,2 Garage spaces,0,0.37 Acres,$370 price/sqft,2.5% buyers agency fee,949900
Vancouver,WA,98664,599-S-Lieser-Rd,"Residential, single family residence",Built in 1989,Forced air,Central air,3 Attached garage spaces,0,0.37 Acres,$262 price/sqft,2.5% buyers agency fee,580000
Tacoma,WA,98422,5829-14th-Street-Ct-NE,Single family residence,Built in 1975,"Fireplace(s), forced air",Central air,2 Attached garage spaces,0,0.37 Acres,$328 price/sqft,2.5% buyers agency fee,590000
Portland,OR,97221,1612-SW-Upland-Dr,"Residential, single family residence",Built in 1942,"Forced air, fireplace(s)",Heat pump,Open parking,0,0.38 Acres,$275 price/sqft,2.5% buyers agency fee,985000
Oswego,OR,97034,1941-Green-Acres-Ln-Lake,"Residential, single family residence",Built in 2012,"Forced air 90, hot water, fireplace(s)",Central air,2 Attached garage spaces,0,0.38 Acres,$342 price/sqft,2.5% buyers agency fee,840000
Portland,OR,97212,2208-NE-28th-Ave,"Residential, single family residence",Built in 1925,"Radiant, zoned, fireplace(s)",No data,2 Attached garage spaces,0,0.39 Acres,$552 price/sqft,2.25% buyers agency fee,4000000
Portland,OR,97227,3219-N-Kerby-Ave,"Residential, condominium, townhouse",Built in 2000,Forced air,No data,Open parking,$293 monthly HOA fee,No data,$325 price/sqft,2.5% buyers agency fee,345000
Beaverton,OR,97007,5055-SW-160th-Ave,"Residential, single family residence",Built in 2014,"Forced air, fireplace(s)",Air conditioning ready,2 Attached garage spaces,0,0.39 Acres,$507 price/sqft,2.25% buyers agency fee,749000
Aloha,OR,97078,4865-SW-197th-Pl,"Residential, single family residence",Built in 1971,"Baseboard, mini split, zoned",Heat pump,Open parking,0,0.39 Acres,$365 price/sqft,2.5% buyers agency fee,625000
Salem,OR,97302,3393-Acorn-Ln-S,Single family residence,Built in 1972,"Natural gas, forced air",Central air,2 Attached garage spaces,0,0.39 Acres,$224 price/sqft,2.5% buyers agency fee,778000
Burien,WA,98166,2801-SW-171st-St,Single family residence,Built in 1984,"Fireplace(s), forced air",Forced air,2 Attached garage spaces,0,0.40 Acres,$667 price/sqft,2.5% buyers agency fee,1448000
Portland,OR,97214,1621-SE-Washington-St,"Residential, condominium, townhouse",Built in 1949,Forced air,No data,1 Garage space,$393 monthly HOA fee,No data,$488 price/sqft,2.5% buyers agency fee,344900
Hillsboro,OR,97123,5685-SW-River-Rd,"Residential, single family residence",Built in 1966,"Forced air, fireplace(s)",Wall unit(s),4 Attached garage spaces,0,0.42 Acres,$318 price/sqft,2.5% buyers agency fee,635000
Milwaukie,OR,97222,12313-SE-Oatfield-Rd,"Residential, single family residence",Built in 1955,"Heat pump, fireplace(s)",Central air,2 Attached garage spaces,0,0.42 Acres,$224 price/sqft,2.5% buyers agency fee,799000
Milwaukie,OR,97267,6725-SE-Mabel-Ave,"Residential, single family residence",Built in 1950,None,None,1 Attached garage space,0,0.43 Acres,$175 price/sqft,2.5% buyers agency fee,399900
Portland,OR,97236,15805-SE-Hawk-Ct,"Residential, single family residence",Built in 2003,Forced air,Central air,2 Attached garage spaces,$50 annually HOA fee,"5,227 sqft",$237 price/sqft,2.5% buyers agency fee,579900
Portland,OR,97219,9323-SW-35th-Ave,"Residential, single family residence",Built in 1942,"Forced air 95 plus, fireplace(s)",No data,1 Attached garage space,0,0.44 Acres,$262 price/sqft,2.25% buyers agency fee,624900
Bothell,WA,98012,19528-22nd-Ave-SE-B,Townhouse,Built in 2023,"Fireplace(s), forced air",None,2 Attached garage spaces,0,0.44 Acres,$426 price/sqft,2.5% buyers agency fee,1235000
Beaverton,OR,97007,7205-SW-189th-Ave,"Residential, single family residence",Built in 2023,"Forced air 90, fireplace(s)",Central air,2 Attached garage spaces,0,0.47 Acres,$372 price/sqft,2.7% buyers agency fee,849900
Portland,OR,97206,5070-SE-Woodstock-Blvd,Residential,Built in 2023,Mini split,Heat pump,Open parking,$276 monthly HOA fee,"5,227 sqft",$452 price/sqft,2.5% buyers agency fee,459000
Portland,OR,97201,1941-SW-Montgomery-Pl,"Residential, single family residence",Built in 1991,Forced air,Central air,2 Garage spaces,0,0.49 Acres,$501 price/sqft,2.25% buyers agency fee,1600000
Vancouver,WA,98661,3830-E-18th-St,Single family residence,Built in 1927,"Fireplace(s), forced air",Wall unit(s),3 Garage spaces,0,0.49 Acres,$268 price/sqft,2.25% buyers agency fee,419000
Vancouver,WA,98682,14206-NE-87th-St,"Residential, single family residence",Built in 1978,"Wall furnace, zoned, fireplace(s)",Window unit(s),2 Attached garage spaces,0,0.50 Acres,$474 price/sqft,2.25% buyers agency fee,499000
Springfield,OR,97478,88259-Miller-Ave,"Residential, single family residence",Built in 1953,Baseboard,No data,1 Attached garage space,0,0.50 Acres,$343 price/sqft,2.5% buyers agency fee,600000
Hillsboro,OR,97123,2820-SE-Brian-St,"Residential, single family residence",Built in 1979,"Forced air, fireplace(s)",Central air,2 Garage spaces,0,0.51 Acres,$219 price/sqft,2.5% buyers agency fee,775000
Vancouver,WA,98662,10300-NE-117th-Ave,"Residential, single family residence",Built in 2000,Wall furnace,No data,3 Attached garage spaces,0,0.52 Acres,$345 price/sqft,2.25% buyers agency fee,550000
Eugene,OR,97405,1941-Dogwood-Dr,"Residential, single family residence",Built in 1968,"Heat pump, fireplace(s)",Central air,2 Attached garage spaces,0,0.52 Acres,$263 price/sqft,2.5% buyers agency fee,720000
Oswego,OR,97034,17950-Kelok-Rd-Lake,"Residential, single family residence",Built in 2024,"Forced air 95 plus, fireplace(s)",Central air,3 Attached garage spaces,0,0.53 Acres,$662 price/sqft,2.25% buyers agency fee,4499900
Portland,OR,97229,15120-NW-Aberdeen-Dr,"Residential, single family residence",Built in 1999,"Forced air, heat pump, fireplace(s)",Central air,2 Attached garage spaces,"$2,818 annually HOA fee","6,098 sqft",$461 price/sqft,2.5% buyers agency fee,847000
Portland,OR,97203,7543-N-Gilbert-Ave-7,"Residential, condominium, townhouse",Built in 2023,"Heat pump, mini split",Heat pump,No data,$50 monthly HOA fee,No data,$377 price/sqft,2.5% buyers agency fee,329900
Portland,OR,97229,9838-NW-Wind-Ridge-Dr,"Residential, single family residence",Built in 2007,"Radiant, fireplace(s)",Central air,5 Attached garage spaces,"$2,700 annually HOA fee",15.18 Acres,$393 price/sqft,2.5% buyers agency fee,4980000
Salem,OR,97317,4549-Ellisons-Way-SE,Single family residence,Built in 2002,"Electric, forced air",Central air,2 Attached garage spaces,0,0.55 Acres,$314 price/sqft,2.5% buyers agency fee,365000
Vancouver,WA,98682,6001-NE-162nd-Ave,Single family residence,Built in 1969,Forced air,Central air,"Rv parking, none",0,0.56 Acres,$358 price/sqft,2.25% buyers agency fee,1100000
Oswego,OR,97034,13770-Goodall-Rd-Lake,"Residential, single family residence",Built in 2023,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,0,0.57 Acres,$842 price/sqft,2.25% buyers agency fee,4995000
Beaverton,OR,97007,9725-SW-163rd-Ave,"Residential, single family residence",Built in 1990,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,0,0.57 Acres,$298 price/sqft,2.5% buyers agency fee,849900
Olympia,WA,98501,3318-18th-Ave-SE,Single family residence,Built in 1977,"Fireplace(s), 90%+ high efficiency, forced air, heat pump",Heat pump,3 Attached garage spaces,0,0.58 Acres,$311 price/sqft,2.5% buyers agency fee,674950
Portland,OR,97239,5570-SW-Menefee-Dr,"Residential, single family residence",Built in 1928,"Baseboard, hot water, other, fireplace(s)",Central air,2 Attached garage spaces,0,0.59 Acres,$562 price/sqft,2.5% buyers agency fee,3500000
Salem,OR,97317,1883-59th-Ave-SE,Single family residence,Built in 1963,Oil,Central air,2 Attached garage spaces,0,0.59 Acres,$304 price/sqft,2.5% buyers agency fee,698000
Springfield,OR,97478,38672-Natures-Garden-St,"Residential, single family residence",Built in 1964,"Ceiling, ductless",Heat pump,2 Attached garage spaces,0,0.60 Acres,$382 price/sqft,2.5% buyers agency fee,550000
Corvallis,OR,97333,4010-SW-West-Hills-Rd,Single family residence,Built in 1917,"Natural gas, forced air",No data,1 Carport space,0,0.61 Acres,$340 price/sqft,3% buyers agency fee,750000
Vancouver,WA,98682,12518-NE-114th-St-7,"Residential, townhouse",Built in 2024,Forced air,Air conditioning ready,2 Attached garage spaces,0,0.63 Acres,$256 price/sqft,2.25% buyers agency fee,449000
Eugene,OR,97405,5080-Fox-Hollow-Rd,"Residential, single family residence",Built in 1949,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.63 Acres,$267 price/sqft,2.5% buyers agency fee,750000
Portland,OR,97203,7547-N-Gilbert-Ave-5,"Residential, condominium, townhouse",Built in 2023,"Heat pump, mini split",Heat pump,No data,$50 monthly HOA fee,No data,$394 price/sqft,2.5% buyers agency fee,349900
Vancouver,WA,98661,5905-Buena-Vista-Dr,"Residential, single family residence",Built in 2005,"Forced air, heat pump, fireplace(s)",Heat pump,4 Attached garage spaces,0,0.65 Acres,$412 price/sqft,2.25% buyers agency fee,3750000
Portland,OR,97209,2172-NW-16th-Ave,"Residential, condominium, townhouse",Built in 2006,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$913 monthly HOA fee,No data,$477 price/sqft,2.5% buyers agency fee,995000
Bothell,WA,98011,16454-108th-Ave-NE,Single family residence,Built in 2002,"Fireplace(s), 90%+ high efficiency, heat pump","Central air, heat pump",3 Attached garage spaces,0,0.68 Acres,$438 price/sqft,2% buyers agency fee,2300000
Oswego,OR,97034,13800-Goodall-Rd-Lake,"Residential, single family residence",Built in 2023,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,0,0.69 Acres,$889 price/sqft,2.25% buyers agency fee,4945000
Tacoma,WA,98465,7702-6th-Ave,Single family residence,Built in 2023,"Fireplace(s), heat pump, high efficiency (unspecified)","Central air, heat pump",3 Attached garage spaces,0,0.76 Acres,$554 price/sqft,2.5% buyers agency fee,1350000
Vancouver,WA,98682,8206-NE-181st-Ct,"Residential, single family residence",Built in 2000,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,0,0.80 Acres,$360 price/sqft,2.25% buyers agency fee,895000
Seattle,WA,98177,1023-NW-Elford-Dr,Single family residence,Built in 1951,"Fireplace(s), forced air",None,2 Garage spaces,0,0.80 Acres,$616 price/sqft,2.5% buyers agency fee,1700000
Vancouver,WA,98664,7000-SE-Riverside-Dr,"Residential, single family residence",Built in 2001,"Forced air, hot water, radiant, fireplace(s)",Central air,3 Attached garage spaces,0,0.80 Acres,$542 price/sqft,2% buyers agency fee,3995000
Hillsboro,OR,97123,25425-SW-Wolsborn-Ave,"Residential, single family residence",Built in 1963,Forced air,Heat pump,2 Attached garage spaces,0,0.81 Acres,$560 price/sqft,2.5% buyers agency fee,699900
Olympia,WA,98501,2119-Yelm-Hwy-SE,Single family residence,Built in 1950,"Fireplace(s), forced air",None,Driveway,0,0.86 Acres,$357 price/sqft,2.5% buyers agency fee,625000
Portland,OR,97229,10285-NW-Wilshire-Ln-17,"Residential, condominium, townhouse",Built in 2002,"Forced air, fireplace(s)",None,1 Attached garage space,$469 monthly HOA fee,No data,$281 price/sqft,2.5% buyers agency fee,459000
Portland,OR,97221,5042-SW-Hilltop-Ln,"Residential, single family residence",Built in 1939,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.90 Acres,$352 price/sqft,2.5% buyers agency fee,1595000
Vancouver,WA,98682,7713-NE-142nd-Ave,"Residential, single family residence",Built in 1994,Heat pump,Heat pump,2 Attached garage spaces,0,0.98 Acres,$293 price/sqft,2.25% buyers agency fee,770000
Portland,OR,97229,2652-NW-Birkendene-St,"Residential, single family residence",Built in 2005,"Forced air 95 plus, fireplace(s)",Central air,3 Attached garage spaces,$375 semi-annually HOA fee,"9,583 sqft",$278 price/sqft,2.5% buyers agency fee,1380000
Portland,OR,97229,455-NW-97th-Ave,"Residential, single family residence",Built in 1957,"Forced air, fireplace(s)",Central air,2 Garage spaces,0,1 Acres,$312 price/sqft,2.5% buyers agency fee,1000000
Bothell,WA,98021,22621-31st-Ave-SE,Single family residence,Built in 1966,"Fireplace(s), forced air, wall furnace",None,3 Garage spaces,0,1 Acres,$210 price/sqft,2.5% buyers agency fee,700000
Seattle,WA,98102,3141-Fairview-Ave-E-806,Single family residence,Built in 1997,No data,No data,None,0,1 Sqft,$652 price/sqft,3% buyers agency fee,365000
Seattle,WA,98103,2401-N-Northlake-Way-E8,Single family residence,Built in 1982,"Ductless hp-mini split, other – see remarks",Ductless hp-mini split,Off street,0,1 Sqft,"$1,246 price/sqft",3% buyers agency fee,299000
Seattle,WA,98116,4109B-42nd-Ave-SW,Townhouse,Built in 2023,"Ductless hp-mini split, wall furnace",Ductless hp-mini split,Off street,0,"1,023 sqft",$584 price/sqft,3% buyers agency fee,785000
Seattle,WA,98107,2620-NW-62nd-St-B,Townhouse,Built in 2023,"Fireplace(s), ductless hp-mini split",Ductless hp-mini split,Off street,0,"1,202 sqft",$612 price/sqft,3% buyers agency fee,859900
Seattle,WA,98144,733-Martin-Luther-King-Jr-Way-S,Single family residence,Built in 2017,"Ductless hp-mini split, forced air, heat pump","Ductless hp-mini split, heat pump",1 Attached garage space,0,"1,219 sqft",$594 price/sqft,2.5% buyers agency fee,949950
Seattle,WA,98107,1732-NW-58th-St-B,Townhouse,Built in 2007,"Fireplace(s), radiant, tankless water heater",None,1 Attached garage space,0,"1,237 sqft",$593 price/sqft,2.5% buyers agency fee,860000
Seattle,WA,98199,3431-22nd-Ave-W-B,Townhouse,Built in 2015,"Fireplace(s), radiant",None,1 Attached garage space,0,"1,267 sqft",$589 price/sqft,2.5% buyers agency fee,925000
Seattle,WA,98116,4107A-42nd-Ave-SW,Townhouse,Built in 2023,"Ductless hp-mini split, wall furnace",Ductless hp-mini split,1 Carport space,0,"1,285 sqft",$605 price/sqft,3% buyers agency fee,779000
Portland,OR,97210,1823-NW-27th-Ave,"Residential, townhouse",Built in 2004,"Forced air 95 plus, fireplace(s)",No data,2 Attached garage spaces,0,"1,306 sqft",$468 price/sqft,2% buyers agency fee,799000
Seattle,WA,98107,1753-NW-61st-St,Townhouse,Built in 2023,"Fireplace(s), ductless hp-mini split, heat pump, tankless water heater, wall furnace",Ductless hp-mini split,Off street,0,"1,376 sqft",$568 price/sqft,3% buyers agency fee,995000
Seattle,WA,98122,1809-E-Columbia-St,Townhouse,Built in 2023,Ductless hp-mini split,Ductless hp-mini split,1 Covered parking space,0,"1,398 sqft",$674 price/sqft,3% buyers agency fee,1064900
Portland,OR,97236,13618-SE-Steele-St,"Residential, townhouse",Built in 2000,"Forced air, fireplace(s)",None,1 Attached garage space,0,"1,742 sqft",$259 price/sqft,2.25% buyers agency fee,324950
Vancouver,WA,98682,12518-NE-114th-St-2,"Residential, townhouse",Built in 2024,Forced air,Air conditioning ready,2 Attached garage spaces,0,"1,742 sqft",$228 price/sqft,2.25% buyers agency fee,399000
Vancouver,WA,98682,12518-NE-114th-St-3,"Residential, townhouse",Built in 2024,Forced air,Air conditioning ready,2 Attached garage spaces,0,"1,742 sqft",$228 price/sqft,2.25% buyers agency fee,399000
Portland,OR,97239,4615-S-Water-Ave,"Residential, single family residence",Built in 1902,"Forced air, mini split",Heat pump,Open parking,0,"1,742 sqft",$489 price/sqft,2.5% buyers agency fee,369000
Seattle,WA,98107,2011-NW-60th-St,Single family residence,Built in 2020,"Fireplace(s), ductless hp-mini split, radiant, tankless water heater, wall furnace",Ductless hp-mini split,Off street,0,"1,755 sqft",$776 price/sqft,3.0% buyers agency fee,1375000
Seattle,WA,98109,3111-Queen-Anne-Ave-N,Single family residence,Built in 2023,"Ductless hp-mini split, wall furnace",Ductless hp-mini split,2 Attached garage spaces,0,"1,807 sqft",$824 price/sqft,3% buyers agency fee,1709900
Seattle,WA,98119,1117-W-Howe-St,Single family residence,Built in 1950,Forced air,None,"Driveway, off street",0,"1,846 sqft",$702 price/sqft,3% buyers agency fee,1348000
Salem,OR,97317,1151-49th-Ave-SE,Single family residence,Built in 1978,Heat pump,No data,4 Attached garage spaces,0,1.01 Acres,$290 price/sqft,2.5% buyers agency fee,699900
Salem,OR,97317,5305-Joseph-St-SE,Single family residence,Built in 1979,"Electric, heat pump",No data,No garage,0,1.03 Acres,$217 price/sqft,2% buyers agency fee,750000
Salem,OR,97301,1149-45th-Ave-NE,Single family residence,Built in 1979,"Natural gas, electric, forced air",Central air,2 Attached garage spaces,0,1.09 Acres,$219 price/sqft,2.5% buyers agency fee,575000
Olympia,WA,98501,517-Franz-Anderson-Rd-SE,Single family residence,Built in 1954,"Fireplace(s), ductless hp-mini split, forced air, wall furnace","Central air, ductless hp-mini split",2 Attached garage spaces,0,1.09 Acres,$208 price/sqft,2.5% buyers agency fee,569999
Portland,OR,97229,8033-NW-Hazeltine-St,"Residential, single family residence",Built in 1999,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,$224 semi-annually HOA fee,0.41 Acres,$243 price/sqft,2.5% buyers agency fee,1099000
Portland,OR,97211,3445-NE-Marine-Dr,Residential,Built in 1956,"Mini split, zoned",Wall unit(s),2 Garage spaces,$989 monthly HOA fee,0.35 Acres,$237 price/sqft,2.5% buyers agency fee,379000
Hillsboro,OR,97123,550-SE-26th-Ave,"Residential, single family residence",Built in 1963,"Forced air 90, fireplace(s)",Central air,2 Attached garage spaces,0,1.19 Acres,$283 price/sqft,2.5% buyers agency fee,849950
Portland,OR,97210,2141-NW-Everett-St,"Residential, condominium, townhouse",Built in 1890,"Forced air, fireplace(s)",None,"Off street, secured",$332 monthly HOA fee,No data,$281 price/sqft,2.5% buyers agency fee,599000
Portland,OR,97229,14546-NW-Salvia-Ct,"Residential, single family residence",Built in 1997,"Forced air, fireplace(s)",Central air,3 Garage spaces,$150 annually HOA fee,"8,276 sqft",$278 price/sqft,2.5% buyers agency fee,779000
Vancouver,WA,98683,12815-SE-Rivercrest-Dr,"Residential, single family residence",Built in 1997,"Forced air, fireplace(s)",Central air,4 Attached garage spaces,0,1.20 Acres,$544 price/sqft,2.25% buyers agency fee,4250000
Salem,OR,97304,2650-Hoo-Doo-Dr-NW,Single family residence,Built in 1991,Natural gas,Central air,3 Attached garage spaces,0,1.21 Acres,$177 price/sqft,2.00% buyers agency fee,1300000
Tacoma,WA,98422,5620-Ridge-Dr-NE,Single family residence,Built in 1999,"Fireplace(s), forced air",Forced air,3 Attached garage spaces,0,1.21 Acres,$419 price/sqft,2.5% buyers agency fee,1200000
Salem,OR,97302,1360-Crowley-Ave-SE,Single family residence,Built in 1957,"Natural gas, electric, forced air",Central air,2 Attached garage spaces,0,1.22 Acres,$215 price/sqft,2.5% buyers agency fee,1100000
Springfield,OR,97478,88750-Potter-Ln,Single family residence,Built in 2019,Forced air,No data,2 Attached garage spaces,0,1.27 Acres,$244 price/sqft,3% buyers agency fee,775000
Salem,OR,97317,6840-Macleay-Rd-SE,Single family residence,Built in 1976,"Natural gas, electric, heat pump, forced air",Central air,2 Carport spaces,0,1.37 Acres,$355 price/sqft,2.5% buyers agency fee,679500
Portland,OR,97210,4410-W-Burnside-Rd,"Residential, single family residence",Built in 2005,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,1.40 Acres,$365 price/sqft,2.5% buyers agency fee,1180000
Salem,OR,97306,7057-Rosedale-Ln-S,"Residential, single family residence",Built in 2001,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,1.46 Acres,$248 price/sqft,2.5% buyers agency fee,815000
Salem,OR,97317,3346-Fir-Tree-Dr-SE,Single family residence,Built in 1975,"Electric, heat pump, forced air",Central air,2 Attached garage spaces,0,1.58 Acres,$381 price/sqft,2.5% buyers agency fee,1075000
Corvallis,OR,97333,4865-SW-Philomath-Blvd,Single family residence,Built in 1947,"Natural gas, forced air",No data,2 Attached garage spaces,0,1.63 Acres,$356 price/sqft,2.5% buyers agency fee,470000
Seattle,WA,98144,1526-Lakeside-Ave-S,Single family residence,Built in 1969,Fireplace(s),"Forced air, central air",2 Attached garage spaces,0,1.68 Acres,"$1,297 price/sqft",1.75% buyers agency fee,8950000
Corvallis,OR,97330,7175-NW-Lathrop-Ln,Single family residence,Built in 2016,"Natural gas, radiant ceiling, forced air",Central air,3 Attached garage spaces,0,1.73 Acres,$350 price/sqft,2.5% buyers agency fee,1825000
Oswego,OR,97034,951-SW-Atwater-Rd-Lake,"Residential, single family residence",Built in 2004,"Forced air, mini split",Central air,5 Attached garage spaces,0,1.88 Acres,$742 price/sqft,2.25% buyers agency fee,6795000
Eugene,OR,97402,,"Residential, single family residence",Built in 1946,"Baseboard, ductless",Heat pump,2 Garage spaces,0,10 Acres,"$1,091 price/sqft",2.5% buyers agency fee,1100000
Portland,OR,97230,4005-NE-142nd-Ave,"Residential, single family residence",Built in 1975,Forced air,Central air,2 Attached garage spaces,0,"10,018 sqft",$267 price/sqft,2.25% buyers agency fee,575000
Portland,OR,97266,7640-SE-119th-Dr,"Residential, single family residence",Built in 1993,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"10,018 sqft",$346 price/sqft,2.25% buyers agency fee,524900
Portland,OR,97206,7321-SE-48th-Ave,"Residential, single family residence",Built in 1963,Forced air,No data,2 Attached garage spaces,0,"10,018 sqft",$277 price/sqft,2.5% buyers agency fee,916230
Portland,OR,97225,3585-SW-87th-Ave,"Residential, single family residence",Built in 1947,"Forced air 90, mini split",Central air,2 Attached garage spaces,0,"10,018 sqft",$251 price/sqft,2.5% buyers agency fee,789900
Milwaukie,OR,97222,12208-SE-22nd-Ave,"Residential, single family residence",Built in 1932,"Forced air 95 plus, fireplace(s)",Central air,Open parking,0,"10,018 sqft",$217 price/sqft,2.5% buyers agency fee,970000
Troutdale,OR,97060,4602-SE-Viewpoint-Dr,"Residential, single family residence",Built in 1995,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,0,"10,018 sqft",$279 price/sqft,2.5% buyers agency fee,775000
Eugene,OR,97402,4215-Ashley-Ln,"Residential, single family residence",Built in 1994,"Ductless, forced air, heat pump",Heat pump,2 Attached garage spaces,0,"10,018 sqft",$313 price/sqft,2.5% buyers agency fee,385500
Eugene,OR,97404,158-Springwood-Dr,"Residential, single family residence",Built in 2004,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"10,018 sqft",$260 price/sqft,2.5% buyers agency fee,679900
Beaverton,OR,97008,8890-SW-Pelham-Ct,"Residential, single family residence",Built in 1992,Forced air,Central air,2 Attached garage spaces,$120 annually HOA fee,"6,969 sqft",$350 price/sqft,2.5% buyers agency fee,634900
Springfield,OR,97477,2075-Otto-St,"Residential, single family residence",Built in 1964,"Ceiling, ductless, zoned",Heat pump,2 Attached garage spaces,0,"10,018 sqft",$305 price/sqft,2.5% buyers agency fee,525000
Beaverton,OR,97005,4931-SW-Chestnut-Pl,"Residential, condominium, townhouse",Built in 1981,"Forced air, fireplace(s)",Central air,1 Garage space,$415 monthly HOA fee,No data,$276 price/sqft,2.5% buyers agency fee,450000
Springfield,OR,97477,70-Greenvale-Dr,"Residential, single family residence",Built in 1956,"Forced air, fireplace(s)",No data,2 Attached garage spaces,0,"10,018 sqft",$340 price/sqft,2.5% buyers agency fee,429000
Beaverton,OR,97008,13160-SW-Tapadera-St,"Residential, single family residence",Built in 1992,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$402 annually HOA fee,"6,098 sqft",$308 price/sqft,2.5% buyers agency fee,649000
Springfield,OR,97478,7251-Daisy-St,"Residential, single family residence",Built in 1994,"Forced air, fireplace(s)",Heat pump,2 Attached garage spaces,0,"10,018 sqft",$304 price/sqft,2.5% buyers agency fee,490000
Eugene,OR,97401,1420-Amberland-Ave,"Residential, single family residence",Built in 1974,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"10,018 sqft",$342 price/sqft,3% buyers agency fee,595000
Aloha,OR,97007,7973-SW-189th-Ave,"Residential, single family residence",Built in 1995,"Forced air 90, fireplace(s)",Central air,2 Attached garage spaces,$52 annually HOA fee,"8,712 sqft",$244 price/sqft,2.5% buyers agency fee,736500
